mainstat,sex,marstat,national_summary_x1,national_summary_x3,national_summary,hatlevel,hatfield,ageclass,familytype_summary,region
7,2,2,,1,1,304,0,10,2,2
1,1,2,,1,1,600,500,10,2,2
3,2,1,,1,1,304,0,5,2,2
3,2,1,,1,1,100,9999,4,2,2
9,2,1,,1,1,999,9999,3,2,2
9,1,1,,1,1,999,9999,3,2,2
9,1,1,,1,1,999,9999,2,2,2
1,2,1,,1,1,400,700,7,3,2
9,2,1,,1,1,999,9999,3,3,2
9,1,1,,1,1,999,9999,2,3,2
7,2,4,,1,1,100,9999,14,9,2
1,2,1,,1,1,500,800,6,9,2
1,2,2,,1,1,400,700,11,1,2
1,1,2,,1,1,304,0,11,1,2
5,1,4,,1,1,200,9999,13,9,2
4,1,1,,1,1,100,9999,16,9,2
5,2,3,,1,1,100,9999,18,9,1
8,1,4,,1,1,304,0,13,9,1
4,2,2,,1,1,500,700,14,1,2
4,1,2,,1,1,304,0,15,1,2
1,1,4,,1,1,500,500,12,3,2
2,1,1,,1,1,200,9999,4,3,2
3,1,1,,1,1,200,9999,4,3,2
9,1,1,,1,1,999,9999,3,3,2
7,2,2,,1,1,600,700,6,2,2
1,1,2,,1,1,500,500,6,2,2
9,2,1,,1,1,999,9999,1,2,2
7,2,2,,1,1,200,9999,14,2,2
4,1,2,,1,1,100,9999,15,2,2
1,2,1,,1,1,500,300,7,2,2
4,2,2,,1,1,400,300,14,1,2
4,1,2,,1,1,500,300,14,1,2
1,1,4,,3,3,304,0,11,9,2
1,2,3,,1,1,500,700,13,3,2
1,2,1,,1,1,304,0,6,3,2
4,1,4,,1,1,600,500,13,9,1
1,2,3,,1,1,100,9999,13,3,2
2,1,1,,1,1,304,0,6,3,2
5,1,1,,1,1,304,0,11,2,2
5,1,2,,1,1,100,9999,18,2,2
7,2,2,,1,1,100,9999,18,2,2
1,1,2,,1,1,200,9999,11,2,1
1,2,2,,1,1,400,0,11,2,1
1,1,1,,1,1,600,600,6,2,1
1,1,1,,1,1,600,500,5,2,1
3,1,1,,1,1,304,0,5,2,1
1,2,2,,1,1,700,100,6,2,2
1,1,2,,1,1,600,481,8,2,2
9,2,1,,1,1,999,9999,1,2,2
1,1,2,,1,1,600,300,9,2,2
1,2,2,,1,1,600,100,9,2,2
9,2,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,1,2,2
1,1,2,,1,1,600,300,8,2,2
1,2,2,,1,1,600,300,8,2,2
9,2,1,,1,1,999,9999,1,2,2
1,1,2,,1,1,600,460,13,1,1
1,2,2,,1,1,600,200,12,1,1
5,1,4,,1,1,200,9999,12,9,1
1,1,2,,1,1,500,300,11,1,1
1,2,2,,1,1,500,300,11,1,1
1,2,2,,1,1,500,700,11,2,1
1,1,2,,1,1,400,600,10,2,1
9,2,1,,1,1,999,9999,3,2,1
9,1,1,,1,1,999,9999,3,2,1
2,1,1,,1,1,700,300,6,1,2
1,2,1,,1,1,700,800,6,1,2
1,1,1,,3,3,,9999,8,1,2
1,2,1,,3,3,,9999,7,1,2
3,1,1,,6,6,200,9999,5,9,2
3,2,1,,6,6,300,0,5,9,2
3,2,1,,6,6,300,0,5,9,2
1,2,2,,4,4,0,9999,7,2,2
2,1,2,,4,4,,9999,7,2,2
9,1,1,,4,4,999,9999,3,2,2
9,1,1,,1,1,999,9999,1,2,2
7,2,1,,6,6,200,9999,7,3,2
9,2,1,,3,3,999,9999,1,3,2
9,2,1,,3,3,999,9999,1,3,2
1,2,2,,1,1,400,700,6,1,2
1,1,2,,6,6,200,9999,6,1,2
7,2,2,,1,1,200,9999,6,1,2
2,1,2,,6,6,,9999,6,1,2
7,2,2,,1,1,200,9999,9,2,1
1,1,2,,1,1,100,9999,9,2,1
9,2,1,,1,1,999,9999,3,2,1
9,1,1,,1,1,999,9999,3,2,1
9,2,1,,1,1,999,9999,2,2,1
1,2,2,,1,1,700,100,11,1,1
1,1,2,,1,1,700,300,11,1,1
7,1,2,,1,1,400,500,11,1,2
1,2,2,,1,1,700,300,11,1,2
4,1,2,,1,1,304,0,12,1,2
1,2,2,,1,1,600,100,12,1,2
1,2,1,,1,1,304,0,7,3,1
9,2,1,,1,1,999,9999,1,3,1
1,1,1,,1,1,100,9999,9,9,2
4,1,2,,1,1,200,9999,15,1,2
4,2,2,,1,1,304,0,15,1,2
1,1,2,,1,1,304,0,11,1,2
1,2,2,,1,1,500,700,11,1,2
4,1,2,,1,1,100,9999,15,2,2
4,2,2,,1,1,100,9999,14,2,2
2,1,1,,1,1,200,9999,8,2,2
2,1,1,,6,4,500,300,7,9,2
1,2,2,,1,1,400,300,7,2,2
1,1,2,,1,1,400,300,9,2,2
9,2,1,,1,1,999,9999,1,2,2
9,1,1,,1,1,999,9999,1,2,2
1,1,2,,1,1,600,300,10,9,2
1,2,2,,1,1,304,0,11,2,2
1,1,2,,1,1,200,9999,10,2,2
1,1,1,,1,1,304,0,5,2,2
3,1,1,,1,1,200,9999,4,2,2
4,2,3,,1,1,200,9999,16,3,2
1,1,1,,1,1,600,500,10,3,2
1,2,1,,1,1,200,9999,11,3,2
1,1,1,,1,1,304,0,6,3,2
3,2,1,,1,1,200,9999,4,3,2
4,2,3,,1,1,100,9999,18,9,1
7,2,2,,1,1,200,9999,10,2,1
1,1,2,,1,1,200,9999,10,2,1
3,1,1,,1,1,200,9999,4,2,1
9,2,1,,1,1,999,9999,3,2,1
4,2,3,,1,1,304,0,11,9,1
1,1,2,,1,1,500,500,8,2,2
7,2,2,,1,1,304,0,8,2,2
9,2,1,,1,1,999,9999,3,2,2
9,2,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,2,2,2
7,2,2,,1,1,600,300,9,2,2
1,1,2,,1,1,200,9999,10,2,2
9,2,1,,1,1,999,9999,3,2,2
9,2,1,,1,1,999,9999,3,2,2
9,2,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,1,2,2
2,2,1,,1,1,200,9999,4,2,2
2,2,2,,1,1,200,9999,10,2,2
2,1,2,,1,1,400,500,12,2,2
7,1,2,,1,1,,9999,15,1,2
4,2,2,,1,1,200,9999,15,1,2
1,2,1,,4,4,600,300,8,9,2
7,2,2,,1,1,500,300,9,2,1
1,1,2,,1,1,500,500,9,2,1
3,1,1,,1,1,200,9999,4,2,1
9,1,1,,1,1,999,9999,2,2,1
9,2,1,,1,1,999,9999,1,2,1
1,2,2,,1,1,600,700,7,2,2
1,1,2,,1,1,600,300,9,2,2
9,2,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,1,2,2
1,2,1,,6,6,600,300,7,9,2
3,1,2,,1,1,400,0,6,2,1
3,2,2,,6,6,300,0,6,2,1
9,1,1,,1,1,999,9999,1,2,1
1,2,1,,1,1,200,9999,12,9,2
2,2,2,,1,1,600,200,13,1,2
4,1,2,,1,1,500,300,13,1,2
1,1,2,,3,3,,9999,7,9,2
1,2,2,,3,3,600,,7,9,2
4,1,2,,1,1,600,300,13,2,2
4,2,2,,1,1,600,100,12,2,2
3,2,1,,1,1,200,9999,4,2,2
3,2,1,,1,1,200,9999,4,2,2
1,1,1,,1,1,600,100,5,9,2
1,1,1,,1,1,600,100,5,9,2
1,1,1,,1,1,600,100,5,9,2
1,1,1,,1,1,600,100,5,9,2
7,2,2,,1,1,400,800,10,2,2
1,1,2,,1,1,600,700,11,2,2
1,2,1,,1,1,600,100,5,2,2
3,1,1,,1,1,304,0,4,2,2
3,2,1,,1,1,200,9999,4,2,2
9,1,1,,1,1,999,9999,2,2,2
4,2,1,,1,1,304,0,18,3,2
1,1,1,,1,1,600,500,9,3,2
4,2,3,,1,1,600,800,13,3,2
1,1,1,,1,1,304,0,7,3,2
1,2,1,,1,1,600,500,6,3,2
1,1,2,,1,1,304,0,7,2,2
7,2,2,,1,1,200,9999,7,2,2
9,1,1,,1,1,999,9999,3,2,2
9,1,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,1,2,2
9,1,1,,1,1,999,9999,1,2,2
7,2,2,,1,1,100,9999,14,9,2
1,2,2,,1,1,500,800,8,2,2
1,1,2,,1,1,304,0,8,2,2
9,1,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,1,2,2
1,1,2,,1,1,600,300,11,2,2
1,2,2,,1,1,700,700,10,2,2
9,1,1,,1,1,999,9999,3,2,2
2,1,2,,1,1,300,0,9,2,2
7,2,2,,1,1,304,0,10,2,2
2,1,1,,1,1,300,,5,2,2
2,1,1,,1,1,200,9999,4,2,2
3,1,1,,1,1,200,9999,4,2,2
3,1,1,,1,1,200,9999,4,2,2
9,2,1,,1,1,999,9999,3,2,2
9,1,1,,1,1,999,9999,3,2,2
1,1,1,,1,1,200,9999,13,9,2
2,1,4,,1,1,100,9999,10,9,1
4,2,2,,1,1,100,9999,12,1,2
4,1,2,,1,1,200,9999,12,1,2
4,1,2,,1,1,600,100,15,1,1
4,2,2,,1,1,600,100,13,1,1
1,2,1,,4,4,600,,6,9,2
1,1,1,,1,1,500,481,12,9,1
7,2,3,,1,1,200,9999,18,9,2
1,1,2,,1,1,500,200,9,9,1
1,1,1,,1,1,700,500,10,9,1
1,1,1,,1,1,100,9999,12,9,1
1,2,2,,1,1,500,600,10,2,2
1,1,2,,1,1,600,500,11,2,2
3,2,1,,1,1,200,9999,4,2,2
3,2,1,,1,1,200,9999,4,2,2
9,2,1,,1,1,999,9999,3,2,2
9,2,1,,1,1,999,9999,3,2,2
5,2,4,,1,1,100,9999,13,9,1
1,1,1,,1,1,600,200,10,2,1
1,2,1,,1,1,500,700,11,2,1
3,1,1,,1,1,200,9999,4,2,1
3,1,1,,1,1,200,9999,4,2,1
9,2,1,,1,1,999,9999,3,2,1
9,2,1,,1,1,999,9999,2,2,1
7,2,2,,4,4,304,0,7,2,2
1,1,2,,4,4,500,300,7,2,2
9,1,1,,1,1,999,9999,1,2,2
1,1,2,,1,1,400,600,11,2,2
1,2,2,,1,1,500,700,11,2,2
9,1,1,,1,1,999,9999,3,2,2
1,2,1,,1,1,500,300,9,9,1
1,2,1,,1,1,500,300,9,9,1
1,2,1,,1,1,400,300,10,9,2
7,2,4,,1,1,500,700,8,3,2
3,1,1,,1,1,200,9999,4,3,2
9,1,1,,1,1,999,9999,2,3,2
9,2,1,,1,1,999,9999,2,3,2
4,1,3,,1,1,100,9999,17,9,2
1,2,2,,1,1,600,100,10,2,2
1,1,2,,1,1,600,300,10,2,2
3,1,1,,1,1,100,9999,4,2,2
9,1,1,,1,1,999,9999,3,2,2
9,2,1,,1,1,999,9999,3,2,2
1,1,1,,1,1,400,500,9,2,2
1,2,1,,1,1,304,0,9,2,2
9,2,1,,1,1,999,9999,1,2,2
9,2,1,,1,1,999,9999,1,2,2
1,1,2,,1,1,500,500,9,2,2
2,2,2,,1,1,600,700,8,2,2
9,1,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,1,2,2
1,2,2,,1,1,400,300,12,2,1
1,1,2,,1,1,304,0,12,2,1
1,1,1,,1,1,600,500,6,2,1
4,1,1,,1,1,100,9999,16,9,1
4,1,2,,1,1,400,500,15,1,2
4,2,2,,1,1,304,0,14,1,2
1,2,4,,1,1,600,300,12,9,2
1,1,2,,1,1,700,500,11,2,2
1,2,2,,1,1,600,200,10,2,2
3,2,1,,1,1,200,9999,4,2,2
9,1,1,,1,1,999,9999,3,2,2
1,2,1,,1,1,600,100,12,9,2
7,2,2,,1,1,400,300,11,1,2
1,1,2,,1,1,700,800,11,1,2
7,2,1,,3,3,600,420,8,2,2
1,1,1,,1,1,600,300,8,2,2
9,2,1,,1,1,999,9999,1,2,2
1,2,1,,4,4,400,800,6,3,2
9,1,1,,4,4,999,9999,1,3,2
5,2,1,,1,1,100,9999,13,9,2
1,1,4,,1,1,600,300,8,3,2
9,2,1,,1,1,999,9999,2,3,2
1,2,2,,4,4,304,0,7,1,2
1,2,2,,3,3,304,0,7,1,2
1,2,2,,1,1,304,0,11,2,2
1,1,2,,1,1,200,9999,10,2,2
1,1,1,,1,1,200,9999,5,2,2
1,1,1,,1,1,304,0,5,2,2
4,1,3,,1,1,100,9999,17,3,1
5,1,1,,1,1,304,0,11,3,1
1,1,3,,1,1,100,9999,16,9,1
7,2,3,,1,1,100,9999,15,9,2
1,2,1,,3,3,,9999,8,2,2
1,1,1,,3,3,,9999,10,2,2
9,2,1,,1,1,999,9999,3,2,2
9,1,1,,1,1,999,9999,2,2,2
1,1,2,,2,2,600,500,9,2,2
7,2,2,,1,1,600,200,9,2,2
9,1,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,1,2,2
1,2,1,,1,1,700,100,14,9,2
7,2,2,,1,1,200,9999,14,1,2
1,1,2,,1,1,200,9999,17,1,2
1,1,2,,1,1,100,9999,10,1,2
1,2,2,,1,1,304,0,10,1,2
7,2,3,,1,1,100,9999,15,9,2
7,2,2,,1,1,304,0,16,2,2
4,1,2,,1,1,200,9999,17,2,2
1,2,1,,1,1,304,0,11,2,2
1,2,2,,1,1,600,100,10,2,2
1,1,2,,1,1,304,0,9,2,2
9,2,1,,1,1,999,9999,3,2,2
9,1,1,,1,1,999,9999,2,2,2
3,2,1,,6,6,300,0,5,9,2
3,2,1,,6,6,300,0,6,9,2
3,1,1,,6,6,300,0,5,9,2
4,1,2,,1,1,100,9999,16,1,2
7,2,2,,1,1,100,9999,16,1,2
7,2,4,,1,1,100,9999,15,9,2
4,1,2,,1,1,100,9999,15,1,2
7,2,2,,1,1,100,9999,15,1,2
3,2,1,,6,6,600,300,8,9,2
3,2,1,,3,3,400,200,5,9,2
3,2,1,,6,6,300,0,5,9,2
1,2,1,,1,1,700,222,6,9,2
1,2,2,,1,1,700,100,11,2,2
1,1,2,,1,1,304,0,11,2,2
3,2,1,,1,1,100,9999,4,2,2
1,1,2,,2,2,400,300,9,2,1
1,2,2,,2,2,200,9999,9,2,1
9,2,1,,1,1,999,9999,2,2,1
1,2,1,,1,1,600,300,5,9,2
1,2,1,,1,1,600,700,6,9,2
3,1,1,,1,1,304,0,5,9,2
3,1,1,,1,1,304,0,5,9,2
4,1,2,,1,1,304,0,14,1,1
1,2,2,,1,1,200,9999,13,1,1
1,2,1,,1,1,304,0,9,3,1
3,2,1,,1,1,200,9999,4,3,1
9,2,1,,1,1,999,9999,3,3,1
9,2,1,,1,1,999,9999,2,3,1
4,1,2,,1,1,500,300,16,2,2
7,2,2,,1,1,200,9999,14,2,2
2,2,1,,1,1,500,100,6,2,2
7,2,2,,4,4,700,300,6,2,2
1,1,2,,6,6,600,700,7,2,2
9,2,1,,4,4,999,9999,1,2,2
4,1,1,,1,1,100,9999,13,9,2
4,1,2,,1,1,600,300,16,1,2
4,2,2,,1,1,304,0,16,1,2
1,2,2,,1,1,600,200,6,1,1
1,1,2,,1,1,500,600,7,1,1
1,2,1,,1,1,800,700,8,9,2
4,1,2,,1,1,600,600,13,1,2
7,2,2,,1,1,304,0,14,1,2
4,2,2,,1,1,500,300,11,2,2
8,1,2,,1,1,304,0,11,2,2
3,2,1,,1,1,200,9999,4,2,2
9,1,1,,1,1,999,9999,3,2,2
1,1,1,,1,1,100,9999,7,9,2
1,2,1,,1,1,400,700,6,2,2
1,1,1,,1,1,200,9999,7,2,2
9,2,1,,1,1,999,9999,1,2,2
9,2,1,,1,1,999,9999,1,2,2
1,1,2,,1,1,304,0,12,2,2
1,2,2,,1,1,500,800,10,2,2
3,1,1,,1,1,304,0,4,2,2
3,2,1,,1,1,200,9999,4,2,2
9,2,1,,1,1,999,9999,3,2,2
1,1,1,,1,1,600,600,10,9,2
1,2,2,,1,1,304,0,12,2,1
1,1,2,,1,1,200,9999,12,2,1
1,1,1,,1,1,304,0,6,2,1
5,1,4,,1,1,200,9999,13,9,2
1,2,1,,1,1,600,300,6,3,2
9,2,1,,1,1,999,9999,2,3,2
1,2,2,,1,1,400,700,12,1,2
2,1,2,,1,1,600,500,11,1,2
1,2,2,,1,1,500,300,9,2,1
1,1,2,,1,1,500,500,9,2,1
3,2,1,,1,1,304,0,5,2,1
9,2,1,,1,1,999,9999,3,2,1
9,2,1,,1,1,999,9999,3,2,1
7,2,2,,1,1,304,0,12,2,2
1,1,2,,1,1,304,0,14,2,2
1,2,1,,1,1,600,300,6,2,2
3,1,1,,1,1,304,0,5,2,2
7,2,1,,1,1,400,800,6,3,1
9,2,1,,1,1,999,9999,1,3,1
1,2,1,,1,1,304,0,12,9,2
2,1,1,,1,1,100,9999,13,9,2
1,1,1,,1,1,700,481,9,9,2
1,1,1,,6,6,500,500,7,9,2
5,1,1,,1,1,600,200,13,9,1
1,2,2,,1,1,500,700,11,2,2
1,1,2,,1,1,500,500,12,2,2
9,2,1,,1,1,999,9999,3,2,2
2,1,1,,1,1,600,500,8,9,2
1,1,2,,1,1,200,9999,9,2,1
1,2,2,,1,1,304,0,10,2,1
9,1,1,,1,1,999,9999,3,2,1
9,1,1,,1,1,999,9999,3,2,1
9,1,1,,1,1,999,9999,2,2,1
1,2,2,,1,1,304,0,12,1,2
1,1,2,,1,1,200,9999,13,1,2
2,1,1,,5,5,304,0,11,9,1
1,1,1,,5,5,200,9999,8,9,1
4,2,1,,1,1,600,100,15,9,2
1,1,2,,1,1,500,800,11,2,2
7,2,2,,1,1,304,0,11,2,2
1,1,1,,1,1,500,800,6,2,2
3,1,1,,1,1,304,0,4,2,2
7,2,2,,1,1,700,200,8,2,2
1,1,2,,1,1,600,300,8,2,2
9,2,1,,1,1,999,9999,1,2,2
9,1,1,,1,1,999,9999,1,2,2
1,1,1,,1,1,700,200,8,9,2
1,1,1,,1,1,700,700,10,9,2
7,2,2,,1,1,700,200,9,2,2
1,1,2,,2,2,600,300,9,2,2
9,1,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,1,2,2
4,1,2,,1,1,500,500,14,1,2
5,2,2,,1,1,100,9999,14,1,2
7,2,2,,1,1,500,300,12,1,1
4,1,2,,1,1,200,9999,13,1,1
5,1,4,,1,1,400,500,13,3,2
2,1,1,,1,1,600,200,6,3,2
7,2,3,,1,1,100,9999,16,9,2
1,1,2,,1,1,304,0,9,2,2
1,2,2,,1,1,400,481,9,2,2
9,2,1,,1,1,999,9999,3,2,2
9,2,1,,1,1,999,9999,2,2,2
1,2,2,,1,1,400,300,9,2,2
1,1,2,,1,1,200,9999,10,2,2
9,2,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,2,2,2
1,2,1,,4,4,500,800,5,1,1
1,1,1,,1,1,500,800,6,1,1
4,1,2,,1,1,400,500,16,1,2
4,2,2,,1,1,200,9999,15,1,2
7,2,3,,1,1,600,100,15,9,1
5,1,2,,4,4,304,0,13,1,2
1,2,2,,4,4,304,0,10,1,2
2,1,2,,1,1,200,9999,13,2,2
1,2,2,,1,1,200,9999,13,2,2
2,1,1,,1,1,304,0,7,2,2
3,2,1,,1,1,100,9999,7,2,2
1,2,1,,1,1,600,700,7,9,2
1,2,1,,1,1,600,700,6,9,2
3,1,1,,1,1,304,0,5,9,1
3,1,1,,1,1,304,0,5,9,1
3,1,1,,1,1,304,0,5,9,1
7,2,2,,1,1,600,700,9,2,2
1,1,2,,1,1,600,300,10,2,2
9,2,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,3,2,2
1,2,1,,1,1,600,300,6,2,1
1,1,1,,1,1,400,500,7,2,1
9,1,1,,1,1,999,9999,1,2,1
1,2,4,,1,1,400,300,11,3,2
1,1,1,,1,1,304,0,6,3,2
3,2,1,,1,1,200,9999,4,3,2
3,2,1,,6,6,200,9999,4,3,2
1,2,4,,6,6,300,0,10,3,2
7,2,3,,1,1,100,9999,16,9,2
7,2,1,,1,1,100,9999,7,3,2
9,1,1,,1,1,999,9999,2,3,2
9,2,1,,1,1,999,9999,1,3,2
7,2,2,,5,5,600,100,7,2,2
1,1,2,,1,1,500,500,8,2,2
9,2,1,,1,1,999,9999,3,2,2
9,1,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,1,2,2
1,1,1,,6,4,600,300,7,9,2
1,1,1,,6,4,304,0,6,9,2
1,2,2,,1,1,700,300,7,2,2
1,1,2,,1,1,700,700,7,2,2
9,1,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,1,2,2
1,1,4,,1,1,200,9999,13,9,2
7,2,3,,4,4,,9999,13,9,2
1,1,2,,1,1,400,800,8,2,2
1,2,2,,1,1,,9999,8,2,2
9,2,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,1,2,2
1,2,2,,1,1,,9999,10,1,2
1,1,2,,1,1,,9999,12,1,2
4,1,4,,1,1,100,9999,15,9,1
1,1,2,,1,1,304,0,11,2,2
1,2,2,,1,1,,9999,11,2,2
3,1,1,,1,1,304,0,5,2,2
3,1,1,,1,1,304,0,4,2,2
2,1,2,,4,4,,9999,6,2,2
1,2,2,,4,4,304,0,7,2,2
9,1,1,,1,1,999,9999,1,2,2
1,2,2,,1,1,700,100,7,1,2
1,1,2,,1,1,200,9999,8,1,2
4,1,2,,1,1,400,500,15,1,2
4,2,2,,1,1,200,9999,14,1,2
1,1,1,,1,1,600,500,5,1,2
1,2,1,,1,1,600,440,5,1,2
1,1,2,,1,1,500,500,12,2,2
1,2,2,,1,1,600,300,11,2,2
9,2,1,,1,1,999,9999,3,2,2
7,2,1,,1,1,304,0,7,2,2
9,2,1,,1,1,999,9999,1,2,2
1,1,1,,1,1,304,0,9,2,2
1,2,2,,1,1,400,700,11,2,2
1,1,2,,1,1,304,0,12,2,2
3,1,1,,1,1,500,200,5,2,2
1,1,2,,1,1,400,,9,2,2
7,2,2,,1,1,400,300,9,2,2
9,1,1,,1,1,999,9999,3,2,2
9,1,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,1,2,2
1,1,2,,1,1,200,9999,13,1,2
7,2,2,,1,1,200,9999,13,1,2
1,1,1,,1,1,100,9999,10,9,2
5,1,2,,1,1,100,9999,12,2,2
7,2,2,,1,1,100,9999,12,2,2
8,1,1,,1,1,100,9999,7,2,2
4,1,2,,1,1,100,9999,16,1,2
4,2,2,,1,1,500,100,14,1,2
1,2,1,,1,1,600,500,8,9,2
4,1,2,,1,1,,9999,17,1,2
7,2,2,,1,1,,9999,17,1,2
5,2,2,,1,1,100,9999,13,1,1
5,1,2,,1,1,100,9999,14,1,1
1,2,2,,1,1,500,700,13,1,2
1,1,2,,1,1,304,0,13,1,2
1,2,2,,1,1,200,9999,7,2,2
2,1,2,,1,1,400,500,7,2,2
9,1,1,,1,1,999,9999,2,2,2
9,2,1,,1,1,999,9999,2,2,2
1,1,2,,1,1,304,0,13,2,2
1,2,2,,1,1,304,0,11,2,2
1,2,1,,1,1,600,700,5,2,2
1,1,1,,1,1,400,500,6,1,2
1,2,1,,1,1,400,700,6,1,2
7,2,2,,1,1,304,0,9,2,2
2,1,2,,1,1,200,9999,9,2,2
1,2,1,,1,1,304,0,5,2,2
1,1,1,,1,1,200,9999,5,2,2
9,2,1,,1,1,999,9999,3,2,2
9,2,1,,1,1,999,9999,3,2,2
2,1,1,,1,1,200,9999,11,9,2
1,2,4,,1,1,400,300,11,3,2
3,1,1,,1,1,200,9999,4,3,2
4,2,2,,1,1,200,9999,15,2,2
4,1,2,,1,1,304,0,15,2,2
2,1,1,,1,1,400,300,8,2,2
1,2,2,,1,1,500,300,11,2,2
1,1,2,,1,1,200,9999,11,2,2
1,1,1,,1,1,304,0,5,2,2
1,2,2,,1,1,600,300,9,2,2
1,1,2,,1,1,600,500,8,2,2
9,1,1,,1,1,999,9999,3,2,2
9,2,1,,1,1,999,9999,3,2,2
9,2,1,,1,1,999,9999,2,2,2
1,1,4,,1,1,200,9999,12,9,2
4,1,2,,1,1,100,9999,14,1,2
4,2,2,,1,1,400,300,14,1,2
5,2,1,,1,1,0,9999,16,9,1
1,2,1,,4,4,304,0,6,9,2
1,2,1,,4,4,600,800,7,9,2
1,1,1,,4,4,304,0,8,1,2
1,2,1,,4,4,500,300,7,1,2
4,1,1,,1,1,304,0,18,9,1
4,2,2,,1,1,304,0,15,1,1
1,1,2,,1,1,100,9999,15,1,1
1,2,4,,1,1,700,0,12,3,2
3,2,1,,1,1,200,9999,4,3,2
5,2,3,,1,1,100,9999,13,3,2
3,2,1,,1,1,304,0,5,3,2
4,2,2,,1,1,600,440,14,1,2
1,1,2,,1,1,400,,13,1,2
1,2,1,,1,1,700,700,8,3,1
9,1,1,,1,1,999,9999,1,3,1
1,2,2,,1,1,500,300,10,2,1
2,1,2,,1,1,100,9999,11,2,1
2,1,1,,1,1,304,0,4,2,1
9,2,1,,1,1,999,9999,1,2,1
1,2,1,,1,1,304,0,8,9,2
1,2,2,,1,1,200,9999,11,2,1
1,1,2,,1,1,200,9999,10,2,1
1,1,1,,1,1,304,0,5,2,1
1,1,1,,1,1,304,0,4,2,1
7,2,2,,1,1,304,0,13,1,1
2,1,2,,1,1,400,500,13,1,1
7,2,3,,1,1,100,9999,18,3,2
8,2,1,,1,1,200,9999,10,3,2
1,1,2,,1,1,400,500,7,2,2
1,2,2,,1,1,300,0,7,2,2
9,2,1,,1,1,999,9999,3,2,2
7,2,4,,1,1,400,300,12,3,1
1,2,1,,1,1,304,0,5,3,1
9,1,1,,1,1,999,9999,3,3,1
1,1,4,,1,1,304,0,8,9,2
1,1,2,,1,1,304,0,10,2,2
1,2,2,,1,1,304,0,9,2,2
9,2,1,,1,1,999,9999,3,2,2
4,1,2,,2,2,400,500,15,2,2
2,2,2,,2,2,200,9999,11,2,2
1,2,1,,2,2,300,0,6,2,2
1,2,1,,2,2,300,0,5,2,2
1,2,2,,1,1,400,700,11,1,2
1,1,2,,1,1,100,9999,12,1,2
7,2,3,,1,1,100,9999,16,9,2
1,2,1,,1,1,600,700,6,2,1
1,1,1,,1,1,500,500,6,2,1
9,2,1,,1,1,999,9999,1,2,1
7,2,2,,1,1,800,440,10,2,1
1,1,2,,1,1,500,440,10,2,1
3,2,1,,1,1,100,9999,4,2,1
9,2,1,,1,1,999,9999,3,2,1
9,2,1,,1,1,999,9999,3,2,1
1,2,2,,1,1,500,,9,2,2
1,1,2,,1,1,304,0,9,2,2
9,2,1,,1,1,999,9999,3,2,2
9,2,1,,1,1,999,9999,3,2,2
9,1,1,,1,1,999,9999,3,2,2
3,2,1,,1,1,304,0,5,3,2
4,1,3,,1,1,,9999,13,3,2
7,2,3,,1,1,100,9999,16,9,2
1,2,2,,1,1,600,300,7,2,2
1,1,2,,1,1,600,300,7,2,2
9,2,1,,1,1,999,9999,2,2,2
9,1,1,,1,1,999,9999,1,2,2
9,2,1,,1,1,999,9999,1,2,2
1,1,1,,1,1,500,300,6,9,2
1,2,4,,1,1,400,300,12,3,2
9,2,1,,1,1,999,9999,3,3,2
7,2,1,,1,1,400,700,8,3,2
3,2,1,,1,1,200,9999,4,3,2
3,2,1,,1,1,100,9999,4,3,2
9,1,1,,1,1,999,9999,3,3,2
4,2,1,,1,1,200,9999,15,9,2
1,1,1,,2,2,304,0,11,9,2
4,2,3,,1,1,304,0,15,9,2
3,1,1,,1,1,200,9999,4,9,2
1,1,2,,1,1,200,9999,9,2,1
1,2,2,,1,1,600,481,9,2,1
9,2,1,,1,1,999,9999,2,2,1
9,1,1,,1,1,999,9999,2,2,1
4,2,1,,1,1,304,0,18,9,2
1,1,2,,1,1,700,100,7,2,2
1,2,2,,1,1,304,0,7,2,2
